phase,experiment,metrics_path,dataset_version,seed,evaluation_entry_point,numeric_metrics
07_planning,07_planning/03_mpc,07_planning/03_mpc/outputs/evaluation_metrics.json,exact-point-world-v1,73,python 07_planning/03_mpc/evaluate.py,"{""candidates"": 256, ""cem_iterations"": 4, ""discount"": 0.97, ""elites"": 32, ""executed_steps"": 12, ""final_distance"": 0.0006452700472436845, ""initial_distance"": 2.2671568393707275, ""max_environment_steps"": 20, ""planning_horizon"": 8, ""replanning_calls"": 12, ""seed"": 73, ""success"": true, ""total_environment_reward"": -11.336052894592285}"
07_planning,07_planning/04_latent_planning,07_planning/04_latent_planning/outputs/evaluation_metrics.json,point-world-latent-planning-v1,101,python 07_planning/04_latent_planning/evaluate.py,"{""candidates"": 512, ""cem_iterations"": 6, ""distance_reduction_fraction"": 0.5651805996894836, ""elites"": 64, ""exact_world_score"": -12.497681617736816, ""final_distance"": 0.9858037829399109, ""initial_distance"": 2.2671568393707275, ""learned_latent_score"": -11.470324516296387, ""planning_horizon"": 10, ""seed"": 101, ""uses_observation_decoder"": false}"
08_imagination_rl,08_imagination_rl/01_actor_critic,08_imagination_rl/01_actor_critic/outputs/evaluation_metrics.json,point-world-imagination-starts-v1,131,python 08_imagination_rl/01_actor_critic/evaluate.py,"{""deterministic_actor_evaluation"": true, ""distance_reduction_fraction"": 0.7738031148910522, ""exact_total_reward"": -16.178653717041016, ""executed_steps"": 20, ""final_distance"": 0.512823760509491, ""initial_distance"": 2.2671568393707275, ""real_environment_used_for_behavior_training"": false, ""seed"": 131, ""success"": false}"
09_spatial_representation,09_spatial_representation/01_cswm,09_spatial_representation/01_cswm/outputs/evaluation_metrics.json,two-object-relational-v1,151,python 09_spatial_representation/01_cswm/evaluate.py,"{""current_position_probe_rmse"": 0.005870726890861988, ""predicted_next_position_probe_rmse"": 0.013061895966529846, ""seed"": 151}"
09_spatial_representation,09_spatial_representation/02_slot_attention,09_spatial_representation/02_slot_attention/outputs/evaluation_metrics.json,colored-two-object-images-v2,163,python 09_spatial_representation/02_slot_attention/evaluate.py,"{""best_example_iou"": 0.34365078806877136, ""mean_best_permutation_iou"": 0.2713397741317749, ""reconstruction_mse"": 0.01453031599521637, ""seed"": 163}"
09_spatial_representation,09_spatial_representation/03_slotformer,09_spatial_representation/03_slotformer/outputs/evaluation_metrics.json,relational-slot-sequences-v1,179,python 09_spatial_representation/03_slotformer/evaluate.py,"{""context_frames"": 4, ""final_rollout_rmse"": 0.2681759297847748, ""rollout_frames"": 8, ""seed"": 179}"
09_spatial_representation,09_spatial_representation/04_occupancy_3d,09_spatial_representation/04_occupancy_3d/outputs/evaluation_metrics.json,moving-voxel-sphere-v1,191,python 09_spatial_representation/04_occupancy_3d/evaluate.py,"{""final_voxel_iou"": 0.7456778883934021, ""seed"": 191, ""threshold"": 0.5}"
10_video_world_model,10_video_world_model/01_vq_video_tokenizer,10_video_world_model/01_vq_video_tokenizer/outputs/evaluation_metrics.json,moving-square-video-v1,211,python 10_video_world_model/01_vq_video_tokenizer/evaluate.py,"{""active_codes"": 5, ""codebook_perplexity"": 2.891238212585449, ""reconstruction_mse"": 0.0035650869831442833, ""seed"": 211, ""tokens_per_frame"": 16}"
10_video_world_model,10_video_world_model/02_latent_action_dynamics,10_video_world_model/02_latent_action_dynamics/outputs/evaluation_metrics.json,vq-moving-square-pairs-v2,223,python 10_video_world_model/02_latent_action_dynamics/evaluate.py,"{""changed_token_accuracy"": 0.7865439653396606, ""changed_token_fraction"": 0.22280272841453552, ""copy_current_token_accuracy"": 0.7771972417831421, ""next_token_accuracy"": 0.8297363519668579, ""permutation_action_accuracy"": 0.26953125, ""seed"": 223}"
10_video_world_model,10_video_world_model/03_heterogeneous_simulator,10_video_world_model/03_heterogeneous_simulator/outputs/evaluation_metrics.json,heterogeneous-square-controls-v1,239,python 10_video_world_model/03_heterogeneous_simulator/evaluate.py,"{""max_source_mse"": 0.014265657402575016, ""seed"": 239}"
11_multimodal,11_multimodal/01_multimodal_fusion,11_multimodal/01_multimodal_fusion/outputs/evaluation_metrics.json,multimodal-navigation-v1,251,python 11_multimodal/01_multimodal_fusion/evaluate.py,"{""all_position_rmse"": 0.032276302576065063, ""no_language_position_rmse"": 0.11488918960094452, ""no_proprio_position_rmse"": 0.5306780338287354, ""no_touch_position_rmse"": 0.03513461351394653, ""no_vision_position_rmse"": 0.037369709461927414, ""seed"": 251}"
12_physical_ai,12_physical_ai/01_action_conditioned_jepa,12_physical_ai/01_action_conditioned_jepa/outputs/evaluation_metrics.json,noisy-robot-transitions-v1,271,python 12_physical_ai/01_action_conditioned_jepa/evaluate.py,"{""action_conditioned_probe_rmse"": 0.15996421873569489, ""mean_predicted_latent_std"": 0.3457540273666382, ""seed"": 271, ""target_encoder_probe_rmse"": 0.013911022804677486, ""uses_pixel_decoder"": false, ""zero_action_probe_rmse"": 0.1841781884431839}"
12_physical_ai,12_physical_ai/02_robot_interface,12_physical_ai/02_robot_interface/outputs/evaluation_metrics.json,safe-mobile-demonstrations-v1,283,python 12_physical_ai/02_robot_interface/evaluate.py,"{""episodes"": 64, ""external_hardware_commands_sent"": false, ""mean_final_distance"": 0.05250844250258524, ""safety_clip_count"": 0, ""seed"": 283, ""success_rate"": 1.0}"
